BarTp,Trade,,,,,,,,BarTp,Bid,,,,,,,,BarTp,Ask,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
H15T10Y Index,,,,,,,,,,,,,,,,,,,,,,,,,
Dates,Value,Volume,Number_Ticks,Low,High,Close,Open,,Dates,Value,Volume,Number_Ticks,Low,High,Close,Open,,Dates,Value,Volume,Number_Ticks,Low,High,Close,Open
10/16/2017 16:02,0,0,1,2.3,2.3,2.3,2.3,,10/10/2017 16:33,0,0,1,2.35,2.35,2.35,2.35,,10/10/2017 16:33,0,0,1,2.35,2.35,2.35,2.35
10/17/2017 16:15,0,0,1,2.3,2.3,2.3,2.3,,10/11/2017 16:15,0,0,1,2.35,2.35,2.35,2.35,,10/11/2017 16:15,0,0,1,2.35,2.35,2.35,2.35
10/18/2017 16:07,0,0,1,2.34,2.34,2.34,2.34,,10/12/2017 16:17,0,0,1,2.33,2.33,2.33,2.33,,10/12/2017 16:17,0,0,1,2.33,2.33,2.33,2.33
10/19/2017 16:02,0,0,1,2.33,2.33,2.33,2.33,,10/13/2017 16:53,0,0,1,2.28,2.28,2.28,2.28,,10/13/2017 16:53,0,0,1,2.28,2.28,2.28,2.28
10/20/2017 16:00,0,0,1,2.39,2.39,2.39,2.39,,10/16/2017 16:02,0,0,1,2.3,2.3,2.3,2.3,,10/16/2017 16:02,0,0,1,2.3,2.3,2.3,2.3
10/23/2017 16:12,0,0,1,2.38,2.38,2.38,2.38,,10/17/2017 16:15,0,0,1,2.3,2.3,2.3,2.3,,10/17/2017 16:15,0,0,1,2.3,2.3,2.3,2.3
10/24/2017 16:09,0,0,1,2.42,2.42,2.42,2.42,,10/18/2017 16:07,0,0,1,2.34,2.34,2.34,2.34,,10/18/2017 16:07,0,0,1,2.34,2.34,2.34,2.34
10/25/2017 16:03,0,0,1,2.44,2.44,2.44,2.44,,10/19/2017 16:02,0,0,1,2.33,2.33,2.33,2.33,,10/19/2017 16:02,0,0,1,2.33,2.33,2.33,2.33
10/26/2017 16:00,0,0,1,2.46,2.46,2.46,2.46,,10/20/2017 16:00,0,0,1,2.39,2.39,2.39,2.39,,10/20/2017 16:00,0,0,1,2.39,2.39,2.39,2.39
10/27/2017 16:22,0,0,1,2.42,2.42,2.42,2.42,,10/23/2017 16:12,0,0,1,2.38,2.38,2.38,2.38,,10/23/2017 16:12,0,0,1,2.38,2.38,2.38,2.38
10/30/2017 16:03,0,0,1,2.37,2.37,2.37,2.37,,10/24/2017 16:09,0,0,1,2.42,2.42,2.42,2.42,,10/24/2017 16:09,0,0,1,2.42,2.42,2.42,2.42
